Date,Open,High,Low,Close,SharesTraded,
20051213 00:00,484000,497100,483600,494700,18526700,
20051214 00:00,494600,496900,491400,495200,11560700,
20051215 00:00,493800,495500,488200,492600,8453600,
20051216 00:00,495800,496300,490500,493000,11071200,
20051219 00:00,491200,497400,489000,489200,9206400,
20051220 00:00,488400,489500,484400,486200,8894900,
20051221 00:00,488500,489400,484700,486700,7537200,
20051222 00:00,486500,488000,483600,486500,6527600,
20051223 00:00,485000,485800,481700,483700,6939900,
20051227 00:00,484100,484500,473600,477200,12716100,
20051228 00:00,478400,483000,477500,478500,6713700,
20051229 00:00,478700,480200,474200,474800,7364700,
20051230 00:00,474700,474700,467500,467800,9639600,
20060103 00:00,463600,466600,455700,462300,22496800,
20060104 00:00,462400,465000,461000,463000,13508500,
20060105 00:00,460000,464000,440000,457000,19972800,
20060106 00:00,456900,460000,451000,458700,20566900,
20060109 00:00,458900,461500,455600,457100,14560100,
20060110 00:00,455000,460300,454600,458500,13123500,
20060111 00:00,460600,466000,457600,465500,13848700,
20060112 00:00,462500,463900,456700,457700,10865800,
20060113 00:00,456800,458900,453100,454300,10010400,
20060117 00:00,454000,454200,446800,449400,16780200,
20060118 00:00,446500,453900,446100,451700,13112800,
20060119 00:00,451800,458900,450600,457900,17692700,
20060120 00:00,456400,457000,448100,450000,18830700,
20060123 00:00,450000,454700,445400,452800,14709100,
20060124 00:00,455500,459100,455000,457000,17706200,
20060125 00:00,457000,461700,456600,459500,18421400,
20060126 00:00,462100,465100,458300,463300,15692200,
20060127 00:00,459900,465200,448300,458200,13057700,
20060130 00:00,464000,469500,462100,464300,13817800,
20060131 00:00,464400,465300,460300,461200,12043700,
20060201 00:00,460500,463800,455700,461600,13760800,
20060202 00:00,463000,464800,454700,462800,18255100,
20060203 00:00,459900,462100,454400,455000,10925300,
20060206 00:00,454400,455100,450500,450900,9817800,
20060207 00:00,450000,454700,446800,447400,15520100,
20060208 00:00,447800,455100,445200,453900,12076300,
20060209 00:00,454800,459700,453300,457100,12766700,
20060210 00:00,456000,459500,453100,457500,7703000,
20060213 00:00,454700,458200,454700,455200,7036800,
20060214 00:00,454200,466400,452800,464500,14415100,
20060215 00:00,462900,469300,458900,469100,10882900,
20060216 00:00,468500,470200,463500,466100,8533300,
20060217 00:00,466300,466300,458000,461000,14665500,
20060221 00:00,457100,464600,454700,457300,14948500,
20060222 00:00,459300,459900,454400,454900,9677700,
20060223 00:00,455000,459500,453400,457000,13566700,
